d,maxN,H0,H1,und
0.5,24,0,2719,7281
0.5,36,0,4979,5021
0.5,48,0,6759,3241
0.5,60,0,8139,1861
0.5,72,0,8929,1071
0.5,84,0,9429,571
0.5,96,0,9716,284
0.5,108,0,9859,141
0.5,120,0,9923,77
0.5,132,0,9965,35
0.5,144,0,9985,15
0.5,156,0,9991,9
0.5,168,0,9994,6
0.5,180,0,9997,3
0.5,192,0,9998,2
0.5,204,0,9999,1
0.5,216,0,10000,0
0.5,228,0,10000,0
0.5,240,0,10000,0
0,24,0,53,9947
0,36,0,79,9921
0,48,0,97,9903
0,60,0,110,9890
0,72,0,123,9877
0,84,0,133,9867
0,96,0,139,9861
0,108,0,146,9854
0,120,0,155,9845
0,132,1952,159,7889
0,144,3422,162,6416
0,156,4366,165,5469
0,168,5096,172,4732
0,180,5635,174,4191
0,192,6075,178,3747
0,204,6447,182,3371
0,216,6762,187,3051
0,228,7063,188,2749
0,240,7281,189,2530
